amt,category,age,trans_hour,is_night,is_weekend,distance_km,city_pop
1500.00,shopping_net,68,2,1,1,180.5,4500
35.20,grocery_pos,34,10,0,0,2.1,320000
899.99,misc_net,72,23,1,0,145.0,8200
12.50,food_dining,28,13,0,0,1.8,500000
2200.00,shopping_net,65,1,1,1,210.3,3100
55.00,gas_transport,41,8,0,1,5.4,180000
1100.00,misc_net,70,3,1,0,95.0,7500
22.80,grocery_pos,25,15,0,0,3.2,450000
780.00,shopping_pos,58,22,1,1,88.0,12000
18.50,health_fitness,33,9,0,0,4.5,275000
3500.00,shopping_net,74,2,1,1,320.0,2800
8.90,food_dining,22,12,0,0,1.2,600000
650.00,entertainment,61,21,1,0,75.5,15000
40.00,personal_care,38,11,0,0,3.8,200000
1800.00,misc_net,69,4,1,1,155.0,5500
28.00,grocery_pos,45,16,0,0,2.5,380000
920.00,travel,55,23,1,0,112.0,9000
15.00,kids_pets,31,10,0,1,2.0,420000
4200.00,shopping_net,78,1,1,1,290.0,1900
62.00,home,36,14,0,0,6.1,155000
